target,layer,base_rep,M_train,mean_test_simple,mean_test_attn,attn_improvement_N,attn_improvement_mean_delta,attn_improvement_sd_delta,attn_improvement_se_delta,attn_improvement_ci_lo_95,attn_improvement_ci_hi_95,attn_improvement_ci_method,attn_improvement_W,attn_improvement_p_sign_one_sided
C_star,8,perm_glob,1024,3.8033233428001405,2.046395149230957,100,1.7569281935691834,0.4717094200188473,0.04717094200188473,0.8189092934131622,2.425721901655197,empirical_2.5_97.5_percentile_of_members,99,7.967495142732219e-29
loglik_true_params_raw_mse,0,true,1024,314250.6403125,45738.4148828125,100,268512.2254296875,3626.856620279477,362.68566202794767,260748.15517578126,274877.6981445312,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,0,perm_glob,1024,316628.7978125,59047.6951953125,100,257581.1026171875,6193.093727404647,619.3093727404647,245427.9712890625,268466.1581054687,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,1,true,1024,224195.3790625,22658.99326171875,100,201536.38580078125,11820.949787417323,1182.0949787417323,181293.6443359375,224367.20268554686,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,1,perm_glob,1024,207998.66875,78968.078671875,100,129030.590078125,16840.991827866696,1684.0991827866696,96731.2892578125,155093.466796875,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,2,true,1024,183824.286875,16819.03171875,100,167005.25515625,13374.626911554971,1337.4626911554972,142698.31979980468,192035.6860595703,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,2,perm_glob,1024,146464.045546875,88115.261015625,100,58348.78453125,10443.095099094198,1044.3095099094198,38183.2490234375,75674.28652343749,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,3,true,1024,152747.132890625,11328.320224609375,100,141418.8126660156,14872.635915966252,1487.2635915966252,111821.09162597657,167875.07436523435,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,3,perm_glob,1024,122340.034765625,86983.5878125,100,35356.446953125,6463.098867273622,646.3098867273623,23423.0068359375,46511.01445312498,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,4,true,1024,125366.111171875,8849.809213867187,100,116516.30195800781,12198.88710751107,1219.8887107511068,96408.76398925782,146039.62443847655,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,4,perm_glob,1024,112613.319140625,85550.806875,100,27062.512265625,4415.610264123781,441.5610264123781,19919.0201171875,35863.254687499975,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,5,true,1024,107178.511640625,7793.940483398437,100,99384.57115722656,10312.178848066224,1031.2178848066224,84534.13673095703,121218.02851562496,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,5,perm_glob,1024,108614.3821875,85191.919140625,100,23422.463046875,3498.471147113916,349.84711471139155,17654.5,29416.0794921875,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,6,true,1024,96618.888125,7509.929443359375,100,89108.95868164062,6883.552316976296,688.3552316976296,76577.43409423828,101488.32364501953,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,6,perm_glob,1024,106320.30625,84898.0109375,100,21422.2953125,3405.568200429322,340.5568200429322,16551.1025390625,29149.044726562497,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,7,true,1024,90862.569609375,7582.3355078125,100,83280.2341015625,4754.951750888141,475.4951750888141,75013.15209960938,92871.19548339842,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,7,perm_glob,1024,104661.770703125,84758.89015625,100,19902.880546875,2946.386925386123,294.6386925386123,15341.9416015625,25296.0716796875,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,8,true,1024,97868.67359375,8357.236716308595,100,89511.4368774414,3712.452268816269,371.24522688162693,82872.25234375,98270.19349365235,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
loglik_true_params_raw_mse,8,perm_glob,1024,103383.68640625,84767.90015625,100,18615.78625,2676.0229217453757,267.6022921745376,14634.2826171875,23573.25390625,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,0,true,1024,0.5937469232082367,0.5802498787641526,100,0.013497044444084167,0.010101159935225519,0.0010101159935225518,0.006032697856426239,0.03766917884349809,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,0,perm_glob,1024,0.5961010587215424,0.580156786441803,100,0.01594427227973938,0.011677888037348757,0.0011677888037348756,0.006846994161605835,0.0572550848126411,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,1,true,1024,0.5422654604911804,0.42692409932613373,100,0.11534136116504669,0.02971189823912791,0.002971189823912791,0.0754447914659977,0.17929022163152658,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,1,perm_glob,1024,0.5944489675760269,0.5673465499281883,100,0.027102417647838592,0.044264292146106846,0.004426429214610684,0.00781814604997635,0.1558133728802197,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,2,true,1024,0.39646471560001373,0.18177570194005965,100,0.21468901365995408,0.06048314744401699,0.006048314744401699,0.12035286538302899,0.39698294363915887,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,2,perm_glob,1024,0.584796696305275,0.5166558390855789,100,0.06814085721969604,0.05574395367755158,0.005574395367755158,0.020155468583106996,0.21949067935347544,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,3,true,1024,0.2527931772172451,0.06555422663688659,100,0.1872389505803585,0.06980376659700606,0.006980376659700606,0.10142531152814627,0.3681264224462202,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,3,perm_glob,1024,0.575009959936142,0.43963685393333435,100,0.1353731060028076,0.09736449439895234,0.009736449439895234,0.027913667261600494,0.3094472076743841,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,4,true,1024,0.17050085835158824,0.0300136929564178,100,0.14048716539517045,0.04447526472095069,0.004447526472095069,0.09673013486899436,0.24378725588321637,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,4,perm_glob,1024,0.5616844674944877,0.3762858371436596,100,0.18539863035082818,0.09502348584449077,0.009502348584449077,0.030441233515739442,0.34950615763664233,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,5,true,1024,0.14171865537762643,0.019201882956549524,100,0.12251677242107689,0.045367504372797435,0.004536750437279744,0.06987866265699268,0.21680669637862537,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,5,perm_glob,1024,0.5534640648961067,0.33680581375956536,100,0.21665825113654136,0.09915726476082391,0.009915726476082392,0.045828141272068024,0.48293298929929696,empirical_2.5_97.5_percentile_of_members,99,7.967495142732219e-29
sigma_mle_sqrt,6,true,1024,0.13630875818431376,0.01651102874428034,100,0.11979772944003343,0.035746015431232014,0.0035746015431232015,0.0794852782972157,0.23519775518216163,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,6,perm_glob,1024,0.5405268448591233,0.31167772501707075,100,0.22884911984205247,0.08377625429314443,0.008377625429314443,0.09080595076084137,0.4052734412252901,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,7,true,1024,0.1359043188393116,0.02003657601773739,100,0.11586774282157421,0.033823823849426886,0.0033823823849426886,0.07544094515033066,0.2066088151186704,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,7,perm_glob,1024,0.5333589059114456,0.2941056841611862,100,0.2392532217502594,0.08429428606858691,0.008429428606858691,0.1319827400147915,0.45820236690342425,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,8,true,1024,0.2608327236771584,0.0797579638287425,100,0.18107475984841584,0.07956497658461997,0.007956497658461997,0.10043609850108623,0.3114638929255306,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
sigma_mle_sqrt,8,perm_glob,1024,0.5334532949328422,0.30121065840125083,100,0.2322426365315914,0.12093818488249705,0.012093818488249706,0.07093941494822502,0.466522924229501,empirical_2.5_97.5_percentile_of_members,100,7.888609052210118e-31
